Season,Site,Cage Number,Treatment,N,WeekOriginal ,Week,Ulva,Sand,Red Filamentous Type 1,Red Filamentous Type 2,Brown foliose algae,Coarsely Branched Red Algae,Asparagopsis,Fish,Urchin,Snail,Shell,Sum,Algae
COLD,CM,1,Urchins Only,No N,1,5,66,11,23,0,0,0,0,0,0,0,0,100,89
COLD,CM,1,Urchins Only,No N,2,6,85,9,6,0,0,0,0,0,0,0,0,100,91
COLD,CM,1,Urchins Only,No N,3,7,95,2,3,0,0,0,0,0,0,0,0,100,98
COLD,CM,1,Urchins Only,No N,4,8,92,7,0,0,0,0,0,0,0,0,1,100,92
COLD,CM,1,Urchins Only,No N,5,9,94,5,0,0,0,0,0,0,0,0,1,100,94
COLD,CM,1,Urchins Only,No N,6,10,90,10,0,0,0,0,0,0,0,0,0,100,90
COLD,CM,1,Urchins Only,No N,7,11,92,8,0,0,0,0,0,0,0,0,0,100,92
COLD,CM,1,Urchins Only,No N,8,12,92,8,0,0,0,0,0,0,0,0,0,100,92
COLD,CM,1,Urchins Only,No N,9,13,91,9,0,0,0,0,0,0,0,0,0,100,91
COLD,CM,1,Urchins Only,No N,10,14,88,12,0,0,0,0,0,0,0,0,0,100,88
COLD,CM,2,Urchins Only,No N,1,5,40,14,46,0,0,0,0,0,0,0,0,100,86
COLD,CM,2,Urchins Only,No N,2,6,56,15,26,3,0,0,0,0,0,0,0,100,85
COLD,CM,2,Urchins Only,No N,3,7,63,15,15,1,0,0,0,0,6,0,0,100,79
COLD,CM,2,Urchins Only,No N,4,8,81,8,11,0,0,0,0,0,0,0,0,100,92
COLD,CM,2,Urchins Only,No N,5,9,73,16,11,0,0,0,0,0,0,0,0,100,84
COLD,CM,2,Urchins Only,No N,6,10,80,9,4,0,0,0,0,0,7,0,0,100,84
COLD,CM,2,Urchins Only,No N,7,11,96,3,1,0,0,0,0,0,0,0,0,100,97
COLD,CM,2,Urchins Only,No N,8,12,67,6,27,0,0,0,0,0,0,0,0,100,94
COLD,CM,2,Urchins Only,No N,9,13,76,14,10,0,0,0,0,0,0,0,0,100,86
COLD,CM,2,Urchins Only,No N,10,14,80,20,0,0,0,0,0,0,0,0,0,100,80
COLD,CM,3,Fish only,N+,1,5,99,1,0,0,0,0,0,0,0,0,0,100,99
COLD,CM,3,Fish only,N+,2,6,100,0,0,0,0,0,0,0,0,0,0,100,100
COLD,CM,3,Fish only,N+,3,7,99,1,0,0,0,0,0,0,0,0,0,100,99
COLD,CM,3,Fish only,N+,4,8,100,0,0,0,0,0,0,0,0,0,0,100,100
COLD,CM,3,Fish only,N+,5,9,96,4,0,0,0,0,0,0,0,0,0,100,96
COLD,CM,3,Fish only,N+,6,10,97,2,0,0,0,0,0,1,0,0,0,100,97
COLD,CM,3,Fish only,N+,7,11,97,3,0,0,0,0,0,0,0,0,0,100,97
COLD,CM,3,Fish only,N+,8,12,96,4,0,0,0,0,0,0,0,0,0,100,96
COLD,CM,3,Fish only,N+,9,13,95,5,0,0,0,0,0,0,0,0,0,100,95
COLD,CM,3,Fish only,N+,10,14,92,8,0,0,0,0,0,0,0,0,0,100,92
COLD,CM,4,Fish only,N+,1,5,10,46,43,1,0,0,0,0,0,0,0,100,54
COLD,CM,4,Fish only,N+,2,6,48,7,38,7,0,0,0,0,0,0,0,100,93
COLD,CM,4,Fish only,N+,3,7,73,8,18,1,0,0,0,0,0,0,0,100,92
COLD,CM,4,Fish only,N+,4,8,81,14,1,4,0,0,0,0,0,0,0,100,86
COLD,CM,4,Fish only,N+,5,9,93,5,0,2,0,0,0,0,0,0,0,100,95
COLD,CM,4,Fish only,N+,6,10,95,5,0,0,0,0,0,0,0,0,0,100,95
COLD,CM,4,Fish only,N+,7,11,99,1,0,0,0,0,0,0,0,0,0,100,99
COLD,CM,4,Fish only,N+,8,12,98,2,0,0,0,0,0,0,0,0,0,100,98
COLD,CM,4,Fish only,N+,9,13,95,5,0,0,0,0,0,0,0,0,0,100,95
COLD,CM,4,Fish only,N+,10,14,86,14,0,0,0,0,0,0,0,0,0,100,86
COLD,CM,5,None present,No N,1,5,45,12,29,2,12,0,0,0,0,0,0,100,88
COLD,CM,5,None present,No N,2,6,37,3,34,0,26,0,0,0,0,0,0,100,97
COLD,CM,5,None present,No N,3,7,37,0,27,1,35,0,0,0,0,0,0,100,100
COLD,CM,5,None present,No N,4,8,37,1,13,0,49,0,0,0,0,0,0,100,99
COLD,CM,5,None present,No N,5,9,46,1,8,2,41,0,0,0,2,0,0,100,97
COLD,CM,5,None present,No N,6,10,44,3,0,0,53,0,0,0,0,0,0,100,97
COLD,CM,5,None present,No N,7,11,53,5,0,0,42,0,0,0,0,0,0,100,95
COLD,CM,5,None present,No N,8,12,74,25,0,1,0,0,0,0,0,0,0,100,75
