Cage Number,Treatment,N,WeekOrig,Week,Ulva,Sand,Red Filamentous Type 1,Red Filamentous Type 2,Dictyota,Coarsely Branched Red Algae,Asparagopsis,Fish,Urchin,Snail,Shell,Sum,Algae
1,Urchins Only,No N,1,5,51,49,0,0,0,0,0,0,0,0,0,100,51
1,Urchins Only,No N,2,7,97,3,0,0,0,0,0,0,0,0,0,100,97
1,Urchins Only,No N,3,9,88,12,0,0,0,0,0,0,0,0,0,100,88
2,Urchins Only,No N,1,5,1,99,0,0,0,0,0,0,0,0,0,100,1
2,Urchins Only,No N,2,7,4,96,0,0,0,0,0,0,0,0,0,100,4
2,Urchins Only,No N,3,9,35,65,0,0,0,0,0,0,0,0,0,100,35
5,None present,No N,1,5,48,52,0,0,0,0,0,0,0,0,0,100,48
5,None present,No N,2,7,86,14,0,0,0,0,0,0,0,0,0,100,86
5,None present,No N,3,9,96,4,0,0,0,0,0,0,0,0,0,100,96
7,All present,No N,1,5,87,13,0,0,0,0,0,0,0,0,0,100,87
7,All present,No N,2,7,94,6,0,0,0,0,0,0,0,0,0,100,94
7,All present,No N,3,9,72,28,0,0,0,0,0,0,0,0,0,100,72
8,None present,N+,2,7,98,2,0,0,0,0,0,0,0,0,0,100,98
8,None present,N+,3,9,100,0,0,0,0,0,0,0,0,0,0,100,100
10,None present,N+,1,5,48,52,0,0,0,0,0,0,0,0,0,100,48
10,None present,N+,2,7,98,2,0,0,0,0,0,0,0,0,0,100,98
10,None present,N+,3,9,99,1,0,0,0,0,0,0,0,0,0,100,99
11,None present,No N,1,5,71,29,0,0,0,0,0,0,0,0,0,100,71
11,None present,No N,2,7,99,1,0,0,0,0,0,0,0,0,0,100,99
11,None present,No N,3,9,98,2,0,0,0,0,0,0,0,0,0,100,98
12,None present,N+,1,5,21,79,0,0,0,0,0,0,0,0,0,100,21
12,None present,N+,2,7,99,1,0,0,0,0,0,0,0,0,0,100,99
12,None present,N+,3,9,98,2,0,0,0,0,0,0,0,0,0,100,98
13,None present,No N,1,5,35,65,0,0,0,0,0,0,0,0,0,100,35
13,None present,No N,2,7,100,0,0,0,0,0,0,0,0,0,0,100,100
13,None present,No N,3,9,91,9,0,0,0,0,0,0,0,0,0,100,91
14,None present,N+,1,5,20,80,0,0,0,0,0,0,0,0,0,100,20
14,None present,N+,2,7,100,0,0,0,0,0,0,0,0,0,0,100,100
14,None present,N+,3,9,95,5,0,0,0,0,0,0,0,0,0,100,95
18,All present,N+,1,5,40,60,0,0,0,0,0,0,0,0,0,100,40
18,All present,N+,2,7,98,2,0,0,0,0,0,0,0,0,0,100,98
18,All present,N+,3,9,97,3,0,0,0,0,0,0,0,0,0,100,97
19,Urchins Only,N+,1,5,35,65,0,0,0,0,0,0,0,0,0,100,35
19,Urchins Only,N+,2,7,93,7,0,0,0,0,0,0,0,0,0,100,93
19,Urchins Only,N+,3,9,92,8,0,0,0,0,0,0,0,0,0,100,92
21,Urchins Only,No N,1,5,25,75,0,0,0,0,0,0,0,0,0,100,25
21,Urchins Only,No N,2,7,71,29,0,0,0,0,0,0,0,0,0,100,71
21,Urchins Only,No N,3,9,77,23,0,0,0,0,0,0,0,0,0,100,77
25,Urchins Only,N+,1,5,32,68,0,0,0,0,0,0,0,0,0,100,32
25,Urchins Only,N+,2,7,94,6,0,0,0,0,0,0,0,0,0,100,94
25,Urchins Only,N+,3,9,100,0,0,0,0,0,0,0,0,0,0,100,100
26,Urchins Only,N+,1,5,74,26,0,0,0,0,0,0,0,0,0,100,74
26,Urchins Only,N+,2,7,96,4,0,0,0,0,0,0,0,0,0,100,96
26,Urchins Only,N+,3,9,93,7,0,0,0,0,0,0,0,0,0,100,93
28,All present,N+,1,5,0,100,0,0,0,0,0,0,0,0,0,100,0
28,All present,N+,2,7,0,100,0,0,0,0,0,0,0,0,0,100,0
28,All present,N+,3,9,8,92,0,0,0,0,0,0,0,0,0,100,8
29,All present,No N,1,5,0,100,0,0,0,0,0,0,0,0,0,100,0
29,All present,No N,2,7,9,63,28,0,0,0,0,0,0,0,0,100,37
29,All present,No N,3,9,56,20,24,0,0,0,0,0,0,0,0,100,80
30,None present,N+,1,5,31,69,0,0,0,0,0,0,0,0,0,100,31
30,None present,N+,2,7,98,2,0,0,0,0,0,0,0,0,0,100,98
30,None present,N+,3,9,100,0,0,0,0,0,0,0,0,0,0,100,100
31,All present,N+,1,5,50,13,37,0,0,0,0,0,0,0,0,100,87
31,All present,N+,2,7,89,11,0,0,0,0,0,0,0,0,0,100,89
31,All present,N+,3,9,84,16,0,0,0,0,0,0,0,0,0,100,84
32,Urchins Only,N+,1,5,10,85,5,0,0,0,0,0,0,0,0,100,15
32,Urchins Only,N+,2,7,82,18,0,0,0,0,0,0,0,0,0,100,82
32,Urchins Only,N+,3,9,78,22,0,0,0,0,0,0,0,0,0,100,78
33,All present,No N,1,5,0,100,0,0,0,0,0,0,0,0,0,100,0
33,All present,No N,2,7,85,15,0,0,0,0,0,0,0,0,0,100,85
33,All present,No N,3,9,81,19,0,0,0,0,0,0,0,0,0,100,81
34,None present,No N,1,5,64,36,0,0,0,0,0,0,0,0,0,100,64
34,None present,No N,2,7,94,6,0,0,0,0,0,0,0,0,0,100,94
34,None present,No N,3,9,97,3,0,0,0,0,0,0,0,0,0,100,97
35,None present,No N,1,5,91,9,0,0,0,0,0,0,0,0,0,100,91
35,None present,No N,2,7,99,1,0,0,0,0,0,0,0,0,0,100,99
35,None present,No N,3,9,90,10,0,0,0,0,0,0,0,0,0,100,90
36,All present,N+,1,5,4,96,0,0,0,0,0,0,0,0,0,100,4
36,All present,N+,2,7,61,39,0,0,0,0,0,0,0,0,0,100,61
36,All present,N+,3,9,54,13,33,0,0,0,0,0,0,0,0,100,87
37,All present,No N,1,5,0,100,0,0,0,0,0,0,0,0,0,100,0
37,All present,No N,2,7,91,9,0,0,0,0,0,0,0,0,0,100,91
37,All present,No N,3,9,93,7,0,0,0,0,0,0,0,0,0,100,93
38,Urchins Only,N+,1,5,87,13,0,0,0,0,0,0,0,0,0,100,87
38,Urchins Only,N+,2,7,100,0,0,0,0,0,0,0,0,0,0,100,100
38,Urchins Only,N+,3,9,89,11,0,0,0,0,0,0,0,0,0,100,89
39,Urchins Only,No N,1,5,71,29,0,0,0,0,0,0,0,0,0,100,71
39,Urchins Only,No N,2,7,91,9,0,0,0,0,0,0,0,0,0,100,91
39,Urchins Only,No N,3,9,82,18,0,0,0,0,0,0,0,0,0,100,82
41,All present,N+,1,5,80,20,0,0,0,0,0,0,0,0,0,100,80
41,All present,N+,2,7,91,9,0,0,0,0,0,0,0,0,0,100,91
41,All present,N+,3,9,93,7,0,0,0,0,0,0,0,0,0,100,93
42,None present,N+,1,5,44,56,0,0,0,0,0,0,0,0,0,100,44
42,None present,N+,2,7,100,0,0,0,0,0,0,0,0,0,0,100,100
42,None present,N+,3,9,96,4,0,0,0,0,0,0,0,0,0,100,96
43,All present,No N,1,5,39,61,0,0,0,0,0,0,0,0,0,100,39
43,All present,No N,2,7,98,2,0,0,0,0,0,0,0,0,0,100,98
43,All present,No N,3,9,75,25,0,0,0,0,0,0,0,0,0,100,75
45,Urchins Only,No N,1,5,52,48,0,0,0,0,0,0,0,0,0,100,52
45,Urchins Only,No N,2,7,60,40,0,0,0,0,0,0,0,0,0,100,60
45,Urchins Only,No N,3,9,47,53,0,0,0,0,0,0,0,0,0,100,47
46,Urchins Only,No N,1,5,71,29,0,0,0,0,0,0,0,0,0,100,71
46,Urchins Only,No N,2,7,83,17,0,0,0,0,0,0,0,0,0,100,83
46,Urchins Only,No N,3,9,90,10,0,0,0,0,0,0,0,0,0,100,90
47,All present,No N,1,5,0,100,0,0,0,0,0,0,0,0,0,100,0
47,All present,No N,2,7,2,98,0,0,0,0,0,0,0,0,0,100,2
47,All present,No N,3,9,5,95,0,0,0,0,0,0,0,0,0,100,5
48,None present,No N,1,5,56,44,0,0,0,0,0,0,0,0,0,100,56
48,None present,No N,2,7,100,0,0,0,0,0,0,0,0,0,0,100,100
48,None present,No N,3,9,85,15,0,0,0,0,0,0,0,0,0,100,85
50,None present,N+,1,5,37,63,0,0,0,0,0,0,0,0,0,100,37
50,None present,N+,2,7,100,0,0,0,0,0,0,0,0,0,0,100,100
50,None present,N+,3,9,96,4,0,0,0,0,0,0,0,0,0,100,96
51,All present,No N,1,5,0,100,0,0,0,0,0,0,0,0,0,100,0
51,All present,No N,2,7,95,5,0,0,0,0,0,0,0,0,0,100,95
51,All present,No N,3,9,94,6,0,0,0,0,0,0,0,0,0,100,94
52,All present,N+,1,5,6,94,0,0,0,0,0,0,0,0,0,100,6
52,All present,N+,2,7,17,83,0,0,0,0,0,0,0,0,0,100,17
