Cage,Treatment,N,Algae Type:,Individual ID,Ceramic cups weight (g),Sample weight + cup (g),Sample weight (preburn) (g),Ceramic cups weight (g),Sample weight + cup (g),Sample weight postburn (g)
1,Urchins Only,No N,Ulva,P1Ulva,132.576,159.581,27.005,132.576,135.555,2.979
2,Urchins Only,No N,Ulva,P2Ulva,125.401,125.573,0.172,125.401,125.443,0.042
5,None Present,No N,Ulva,P5Ulva,132.57,142.58,10.01,132.57,138.092,5.522
7,All present,No N,Ulva,P7Ulva,134.772,151.417,16.645,134.772,136.751,1.979
8,None Present,N+,Ulva,P8Ulva,256.626,265.607,8.981,256.626,263.452,6.826
10,None Present,N+,Ulva,P10Ulva,133.498,142.39,8.892,133.498,137.504,4.006
11,None Present,No N,Ulva,P11Ulva,132.285,132.939,0.654,132.285,132.616,0.331
12,None Present,N+,Ulva,P12Ulva,262.253,345.971,83.718,262.253,276.105,13.852
13,None Present,No N,Ulva,P13Ulva,132.293,137.678,5.385,132.293,136.167,3.874
14,None Present,N+,Ulva,P25Ulva,263.148,391.217,128.069,263.148,273.766,10.618
18,All present,N+,Ulva,P18Ulva,133.495,138.786,5.291,133.495,136.073,2.578
19,Urchins Only,N+,Ulva,P19Ulva,132.562,138.062,5.5,132.562,135.717,3.155
21,Urchins Only,No N,Ulva,P21Ulva,133.49,148.016,14.526,133.49,137.602,4.112
25,Urchins Only,N+,Ulva,P25Ulva,135.242,139.372,4.13,135.242,137.411,2.169
26,Urchins Only,N+,Ulva,P26Ulva,130.965,157.572,26.607,130.965,134.496,3.531
28,All present,N+,Ulva,P28Ulva,35.554,35.69,0.136,35.554,35.623,0.069
29,All present,No N,Ulva,P29Ulva,130.228,132.124,1.896,130.228,131.028,0.8
30,None Present,N+,Ulva,P30Ulva,187.966,195.867,7.901,187.966,193.152,5.186
31,All present,N+,Ulva,P31Ulva,132.296,134.532,2.236,132.296,133.192,0.896
32,Urchins Only,N+,Ulva,P32Ulva,135.376,138.228,2.852,135.376,136.621,1.245
33,All present,No N,Ulva,P33Ulva,134.765,136.824,2.059,134.765,136.035,1.27
34,None Present,No N,Ulva,P34Ulva,125.4,130.755,5.355,125.4,128.965,3.565
35,None Present,No N,Ulva,P35Ulva,135.14,139.435,4.295,135.14,137.737,2.597
36,All present,N+,Ulva,P36Ulva,128.321,133.887,5.566,128.321,131.012,2.691
37,All present,No N,Ulva,P37Ulva,133.509,166.853,33.344,133.509,134.569,1.06
38,Urchins Only,N+,Ulva,P38Ulva,133.323,136.409,3.086,133.323,134.863,1.54
39,Urchins Only,No N,Ulva,P39Ulva,125.38,127.361,1.981,125.38,126.107,0.727
41,All present,N+,Ulva,P41Ulva,128.911,132.148,3.237,128.911,130.144,1.233
42,None Present,N+,Ulva,P42Ulva,0,0,0,0,0,0
43,All present,No N,Ulva,P43Ulva,133.521,135.566,2.045,133.521,134.285,0.764
45,Urchins Only,No N,Ulva,P45Ulva,38.624,38.917,0.293,38.624,38.751,0.127
46,Urchins Only,No N,Ulva,P4Ulva,135.01,137.084,2.074,135.01,135.572,0.562
47,All present,No N,Ulva,P47Ulva,35.561,35.639,0.078,35.561,35.607,0.046
48,None Present,No N,Ulva,P48Ulva,128.939,132.371,3.432,128.939,130.684,1.745
50,None Present,N+,Ulva,P50Ulva,125.382,140.117,14.735,125.382,131.121,5.739
51,All present,No N,Ulva,P51Ulva,140.278,146.091,5.813,140.278,142.898,0
52,All present,N+,Ulva,P52Ulva,132.563,132.58,0.017,132.563,132.57,0.007
53,Urchins Only,N+,Ulva,P53Ulva,131.01,134.94,3.93,131.01,132.938,1.928
54,Urchins Only,No N,Ulva,P54Ulva,135.398,138.245,2.847,135.398,136.595,1.197
55,All present,No N,Ulva,P55Ulva,0,0,0,0,0,0
56,None Present,N+,Ulva,P56Ulva,134.764,137.288,2.524,134.764,136.405,1.641
57,None Present,No N,Ulva,P57Ulva,133.323,138.372,5.049,133.323,136.774,3.451
58,None Present,No N,Ulva,P58Ulva,125.395,138.15,12.755,125.395,128.42,3.025
59,All present,N+,Ulva,P59Ulva,135.385,138.792,3.407,135.385,136.385,1
60,Urchins Only,N+,Ulva,P60Ulva,132.276,137.665,5.389,132.276,135.703,3.427
62,Urchins Only,N+,Ulva,P62Ulva,133.324,134.24,0.916,133.324,133.931,0.607
63,Urchins Only,No N,Ulva,P63Ulva,135.252,135.265,0.013,135.252,135.26,0.008
64,All present,N+,Ulva,P64Ulva,135.257,135.982,0.725,135.257,135.452,0.195
